"Gene_ID","Kmeans_Cluster"
"g_00761","4"
"g_00764","6"
"g_00766","3"
"g_00767","2"
"g_00768","2"
"g_00770","5"
"g_00771","5"
"g_00778","5"
"g_00779","5"
"g_00780","5"
"g_00782","1"
"g_00784","5"
"g_00789","6"
"g_00790","5"
"g_00791","4"
"g_00796","4"
"g_00798","5"
"g_00803","5"
"g_00805","4"
"g_00807","5"
"g_00808","6"
"g_00810","5"
"g_00812","5"
"g_00813","5"
"g_00818","4"
"g_00821","5"
"g_00822","5"
"g_00827","2"
"g_00829","3"
"g_00830","6"
"g_00831","5"
"g_00832","5"
"g_00834","5"
"g_00836","5"
"g_00841","4"
"g_00844","5"
"g_00845","5"
"g_00852","7"
"g_00853","5"
"g_00858","5"
"g_00859","4"
"g_00860","5"
"g_00864","5"
"g_00874","5"
"g_00875","5"
"g_00878","1"
"g_00880","2"
"g_00885","6"
"g_00886","2"
"g_00887","5"
"g_00888","5"
"g_00889","6"
"g_00892","6"
"g_00895","1"
"g_00899","5"
"g_00900","4"
"g_00902","6"
"g_00907","2"
"g_00909","5"
"g_00918","6"
"g_00919","2"
"g_00920","5"
"g_00931","4"
"g_00932","5"
"g_00937","3"
"g_00940","4"
"g_00943","6"
"g_00944","5"
"g_00947","1"
"g_00949","2"
"g_00951","5"
"g_00952","5"
"g_00953","4"
"g_00954","5"
"g_00959","2"
"g_00961","5"
"g_00964","5"
"g_00966","6"
"g_00967","2"
"g_00968","6"
"g_00969","5"
"g_00975","5"
"g_00978","7"
"g_00979","6"
"g_00980","5"
"g_00981","5"
"g_00982","5"
"g_00985","2"
"g_00990","6"
"g_00992","5"
"g_00994","4"
"g_00997","5"
"g_00998","6"
"g_01001","6"
"g_01004","5"
"g_01005","5"
"g_01010","2"
"g_01011","5"
"g_01016","5"
"g_01017","5"
"g_01020","5"
"g_01027","2"
"g_01028","5"
"g_01029","5"
"g_01033","4"
"g_01035","6"
"g_01039","6"
"g_01041","5"
"g_01042","6"
"g_01043","5"
"g_01048","5"
"g_01051","5"
"g_01053","4"
"g_01054","5"
"g_01055","5"
"g_01056","6"
"g_01058","5"
"g_01059","5"
"g_01066","2"
"g_01067","6"
"g_01070","5"
"g_01071","5"
"g_01074","1"
"g_01075","6"
"g_01077","7"
"g_01078","5"
"g_01079","5"
"g_01082","6"
"g_01087","2"
"g_01088","2"
"g_01092","5"
"g_01097","1"
"g_01102","5"
"g_01103","2"
"g_01105","5"
"g_01106","6"
"g_01108","5"
"g_01110","4"
"g_01111","7"
"g_01112","6"
"g_01113","6"
"g_01114","5"
"g_01115","5"
"g_01117","2"
"g_01118","5"
"g_01119","5"
"g_01120","5"
"g_01130","5"
"g_01131","5"
"g_01132","5"
"g_01135","5"
"g_01136","5"
"g_01137","6"
"g_01138","5"
"g_01142","7"
"g_01143","6"
"g_01144","5"
"g_01145","5"
"g_01146","1"
"g_01148","5"
"g_01152","5"
"g_01153","5"
"g_01157","5"
"g_01158","4"
"g_01159","2"
"g_01160","5"
"g_01161","5"
"g_01165","5"
"g_01167","5"
"g_01168","5"
"g_01169","5"
"g_01170","6"
"g_01174","5"
"g_01178","5"
"g_01179","5"
"g_01181","4"
"g_01182","5"
"g_01184","7"
"g_01187","4"
"g_01192","5"
"g_01193","2"
"g_01194","5"
"g_01198","5"
"g_01200","5"
"g_01202","2"
"g_01203","5"
"g_01204","4"
"g_01205","6"
"g_01208","6"
"g_01214","5"
"g_01223","3"
"g_01227","5"
"g_01228","1"
"g_01229","5"
"g_01231","3"
"g_01234","4"
"g_01236","2"
"g_01238","2"
"g_01240","7"
"g_01242","5"
"g_01247","5"
"g_01248","5"
"g_01249","5"
"g_01254","2"
"g_01257","5"
"g_01258","5"
"g_01259","5"
"g_01260","5"
"g_01262","1"
"g_01270","1"
"g_01271","5"
"g_01274","5"
"g_01275","5"
"g_01277","4"
"g_01278","5"
"g_01279","5"
"g_01280","5"
"g_01286","5"
"g_01287","1"
"g_01288","6"
"g_01291","1"
"g_01295","5"
"g_01296","2"
"g_01299","6"
"g_01304","6"
"g_01310","4"
"g_01316","5"
"g_01317","5"
"g_01319","5"
"g_01320","5"
"g_01322","4"
"g_01323","6"
"g_01324","3"
"g_01326","4"
"g_01327","4"
"g_01328","5"
"g_01329","6"
"g_01331","5"
"g_01332","1"
"g_01334","6"
"g_01335","6"
"g_01337","4"
"g_01342","7"
"g_01344","4"
"g_01351","5"
"g_01352","5"
"g_01353","1"
"g_01355","2"
"g_01358","2"
"g_01362","5"
"g_01363","5"
"g_01365","1"
"g_01367","2"
"g_01369","4"
"g_01375","6"
"g_01377","6"
"g_01378","5"
"g_01380","5"
"g_01381","1"
"g_01384","6"
"g_01386","6"
"g_01388","5"
"g_01389","5"
"g_01392","2"
"g_01394","6"
"g_01395","5"
"g_01396","5"
"g_01397","1"
"g_01398","5"
"g_01400","4"
"g_01403","7"
"g_01404","6"
"g_01408","5"
"g_01409","2"
"g_01415","2"
"g_01417","2"
"g_01419","5"
"g_01426","7"
"g_01427","6"
"g_01429","5"
"g_01430","5"
"g_01436","1"
"g_01437","4"
"g_01441","2"
"g_01445","7"
"g_01446","2"
"g_01455","6"
"g_01456","6"
"g_01463","5"
"g_01466","5"
"g_01467","5"
"g_01468","5"
"g_01471","5"
"g_01475","5"
"g_01476","3"
"g_01477","6"
"g_01478","5"
"g_01479","6"
"g_01481","5"
"g_01482","5"
"g_01484","1"
"g_01491","1"
"g_01492","2"
"g_01495","2"
"g_01497","5"
"g_01498","6"
"g_01502","5"
"g_01506","1"
"g_01509","2"
"g_01510","5"
"g_01511","1"
"g_01512","5"
"g_01521","2"
"g_01522","3"
"g_01523","5"
"g_01527","5"
"g_01528","5"
"g_01529","7"
"g_01530","6"
"g_01531","5"
"g_01532","4"
"g_01540","5"
"g_01541","4"
"g_01543","5"
"g_01544","6"
"g_01546","6"
"g_01547","5"
"g_01552","2"
"g_01553","5"
"g_01554","5"
"g_01555","5"
"g_01562","1"
"g_01565","5"
"g_01572","2"
"g_01573","5"
"g_01574","6"
"g_01581","2"
"g_01582","5"
"g_01584","5"
"g_01588","5"
"g_01593","5"
"g_01594","5"
"g_01604","1"
"g_01605","6"
"g_01609","7"
"g_01614","5"
"g_01615","5"
