"Gene_ID","Kmeans_Cluster"
"g_00005","5"
"g_00016","2"
"g_00028","5"
"g_00048","1"
"g_00071","6"
"g_00083","5"
"g_00096","2"
"g_00098","5"
"g_00120","2"
"g_00121","2"
"g_00123","1"
"g_00126","5"
"g_00128","2"
"g_00133","2"
"g_00141","1"
"g_00146","2"
"g_00152","2"
"g_00155","2"
"g_00160","2"
"g_00166","1"
"g_00179","1"
"g_00184","1"
"g_00198","1"
"g_00200","5"
"g_00201","1"
"g_00216","4"
"g_00219","2"
"g_00241","6"
"g_00243","5"
"g_00253","2"
"g_00254","2"
"g_00260","2"
"g_00287","5"
"g_00305","2"
"g_00366","5"
"g_00372","2"
"g_00382","1"
"g_00383","2"
"g_00386","1"
"g_00387","5"
"g_00392","2"
"g_00400","6"
"g_00406","5"
"g_00425","2"
"g_00434","6"
"g_00435","1"
"g_00441","2"
"g_00443","7"
"g_00459","5"
"g_00460","2"
"g_00470","2"
"g_00472","5"
"g_00477","2"
"g_00486","1"
"g_00490","5"
"g_00511","1"
"g_00523","5"
"g_00535","1"
"g_00543","5"
"g_00547","5"
"g_00551","5"
"g_00574","5"
"g_00583","5"
"g_00598","2"
"g_00603","3"
"g_00610","1"
"g_00611","1"
"g_00630","1"
"g_00632","5"
"g_00640","5"
"g_00648","2"
"g_00653","2"
"g_00676","2"
"g_00679","2"
"g_00685","2"
"g_00693","5"
"g_00701","5"
"g_00778","2"
"g_00789","4"
"g_00810","2"
"g_00812","2"
"g_00813","2"
"g_00822","2"
"g_00834","5"
"g_00864","2"
"g_00892","1"
"g_00899","5"
"g_00907","2"
"g_00943","1"
"g_00970","5"
"g_00980","2"
"g_00982","5"
"g_00992","5"
"g_01014","3"
"g_01028","2"
"g_01041","5"
"g_01042","1"
"g_01043","5"
"g_01051","5"
"g_01052","7"
"g_01066","3"
"g_01078","2"
"g_01087","6"
"g_01105","2"
"g_01106","1"
"g_01112","4"
"g_01117","6"
"g_01131","5"
"g_01132","5"
"g_01136","2"
"g_01144","5"
"g_01145","2"
"g_01148","5"
"g_01152","2"
"g_01174","2"
"g_01182","5"
"g_01205","1"
"g_01208","1"
"g_01259","2"
"g_01271","2"
"g_01316","5"
"g_01323","1"
"g_01331","5"
"g_01351","5"
"g_01363","5"
"g_01367","2"
"g_01380","2"
"g_01394","1"
"g_01395","2"
"g_01404","1"
"g_01429","5"
"g_01445","4"
"g_01446","2"
"g_01455","4"
"g_01477","1"
"g_01478","2"
"g_01492","2"
"g_01498","1"
"g_01510","2"
"g_01523","5"
"g_01530","1"
"g_01531","5"
"g_01547","2"
"g_01555","5"
"g_01562","7"
"g_01572","2"
"g_01581","2"
"g_01634","5"
"g_01668","7"
"g_01671","7"
"g_01676","2"
"g_01693","1"
"g_01713","2"
"g_01719","5"
"g_01773","4"
"g_01813","2"
"g_01832","1"
"g_01837","2"
"g_01838","5"
"g_01859","1"
"g_01860","2"
"g_01863","1"
"g_01883","2"
"g_01889","6"
"g_01899","5"
"g_01903","1"
"g_01932","2"
"g_01964","1"
"g_02003","5"
"g_02010","6"
"g_02044","5"
"g_02050","5"
"g_02054","2"
"g_02061","2"
"g_02065","2"
"g_02071","2"
"g_02072","2"
"g_02079","1"
"g_02082","7"
"g_02084","1"
"g_02090","2"
"g_02100","1"
"g_02113","1"
"g_02144","2"
"g_02168","2"
"g_02184","2"
"g_02186","2"
"g_02229","2"
"g_02244","1"
"g_02254","2"
"g_02256","2"
"g_02287","3"
"g_02291","1"
"g_02296","4"
"g_02330","2"
"g_02332","5"
"g_02336","5"
"g_02346","2"
"g_02354","5"
"g_02376","2"
"g_02400","6"
"g_02406","2"
"g_02428","7"
"g_02445","5"
"g_02446","1"
"g_02460","1"
"g_02462","2"
"g_02490","5"
"g_02493","2"
"g_02531","5"
"g_02556","5"
"g_02560","1"
"g_02624","5"
"g_02640","5"
"g_02641","2"
"g_02650","1"
"g_02680","5"
"g_02720","6"
"g_02723","5"
"g_02739","2"
"g_02740","1"
"g_02741","1"
"g_02745","5"
"g_02773","1"
"g_02810","5"
"g_02811","2"
"g_02816","7"
"g_02840","2"
"g_02857","2"
"g_02862","2"
"g_02893","2"
"g_02895","1"
"g_02897","5"
"g_02933","6"
"g_02942","1"
"g_02982","1"
"g_03006","5"
"g_03026","5"
"g_03037","2"
"g_03067","2"
"g_03080","5"
"g_03085","1"
"g_03086","2"
"g_03088","5"
"g_03098","6"
"g_03101","2"
"g_03113","5"
"g_03115","2"
"g_03118","2"
"g_03129","6"
"g_03132","2"
"g_03146","1"
"g_03149","7"
"g_03168","2"
"g_03175","5"
"g_03179","2"
"g_03203","2"
"g_03207","5"
"g_03236","5"
"g_03247","2"
"g_03270","2"
"g_03273","1"
"g_03282","4"
"g_03320","1"
"g_03330","1"
"g_03424","5"
"g_03428","5"
"g_03436","2"
"g_03442","2"
"g_03459","2"
"g_03477","1"
"g_03481","2"
"g_03495","2"
"g_03501","2"
"g_03534","5"
"g_03612","2"
"g_03626","5"
"g_03631","5"
"g_03632","5"
"g_03644","2"
"g_03645","2"
"g_03659","2"
"g_03670","4"
"g_03681","1"
"g_03702","5"
"g_03705","5"
"g_03738","1"
"g_03740","5"
"g_03746","2"
"g_03763","2"
"g_03764","5"
"g_03765","5"
"g_03782","2"
"g_03783","2"
"g_03803","2"
"g_03825","2"
"g_03830","2"
"g_03865","1"
"g_03874","7"
"g_03900","6"
"g_03903","1"
"g_03908","5"
"g_03917","5"
"g_03918","6"
"g_03928","5"
"g_03931","2"
"g_03932","2"
"g_03934","5"
"g_03941","2"
"g_03966","2"
"g_03998","1"
