Wavelength,Intensity,Group
322.91,3219.5,Blue
323.39,3243,Blue
323.86,3217.5,Blue
324.33,3210.5,Blue
324.8,3198.5,Blue
325.27,3214,Blue
325.75,3207.5,Blue
326.22,3210.5,Blue
326.69,3223,Blue
327.16,3227.5,Blue
327.63,3207,Blue
328.1,3214,Blue
328.58,3227,Blue
329.05,3222.5,Blue
329.52,3216.5,Blue
329.99,3211.5,Blue
330.46,3211.5,Blue
330.93,3221.5,Blue
331.4,3192.5,Blue
331.88,3195.5,Blue
332.35,3202.5,Blue
332.82,3217.5,Blue
333.29,3208,Blue
333.76,3216,Blue
334.23,3226.5,Blue
334.7,3213.5,Blue
335.17,3226,Blue
335.65,3192.5,Blue
336.12,3208.5,Blue
336.59,3217,Blue
337.06,3210,Blue
337.53,3206,Blue
338,3212,Blue
338.47,3217,Blue
338.94,3223,Blue
339.41,3222,Blue
339.88,3219.5,Blue
340.36,3218.5,Blue
340.83,3213,Blue
341.3,3209,Blue
341.77,3214.5,Blue
342.24,3203,Blue
342.71,3196.5,Blue
343.18,3209,Blue
343.65,3203.5,Blue
344.12,3211.5,Blue
344.59,3193.5,Blue
345.06,3217,Blue
345.53,3208,Blue
346,3220,Blue
346.47,3222.5,Blue
346.94,3223.5,Blue
347.41,3223.5,Blue
347.89,3240,Blue
348.36,3215,Blue
348.83,3240,Blue
349.3,3230.5,Blue
349.77,3219,Blue
350.24,3203.5,Blue
350.71,3230.5,Blue
351.18,3221,Blue
351.65,3204,Blue
352.12,3224.5,Blue
352.59,3220.5,Blue
353.06,3209.5,Blue
353.53,3198.5,Blue
354,3222,Blue
354.47,3224.5,Blue
354.94,3228,Blue
355.41,3217.5,Blue
355.88,3208.5,Blue
356.35,3236.5,Blue
356.82,3223.5,Blue
357.29,3219,Blue
357.76,3225,Blue
358.23,3238,Blue
358.7,3212.5,Blue
359.16,3217.5,Blue
359.63,3221,Blue
360.1,3226.5,Blue
360.57,3212.5,Blue
361.04,3220.5,Blue
361.51,3223,Blue
361.98,3209,Blue
362.45,3225,Blue
362.92,3229,Blue
363.39,3210,Blue
363.86,3201,Blue
364.33,3222.5,Blue
364.8,3189.5,Blue
365.27,3214,Blue
365.74,3199,Blue
366.21,3229,Blue
366.67,3196.5,Blue
367.14,3218,Blue
367.61,3217.5,Blue
368.08,3211.5,Blue
368.55,3224,Blue
369.02,3226.5,Blue
369.49,3213.5,Blue
369.96,3241,Blue
370.43,3217,Blue
370.9,3212,Blue
371.36,3213.5,Blue
371.83,3205.5,Blue
372.3,3209,Blue
372.77,3265.5,Blue
373.24,3225,Blue
373.71,3214.5,Blue
374.18,3204.5,Blue
374.65,3212.5,Blue
375.11,3216,Blue
375.58,3218,Blue
376.05,3219,Blue
376.52,3230,Blue
376.99,3209,Blue
377.46,3208,Blue
377.93,3225.5,Blue
378.39,3215.5,Blue
378.86,3221.5,Blue
379.33,3203,Blue
379.8,3220.5,Blue
380.27,3229.5,Blue
380.74,3217,Blue
381.2,3246,Blue
381.67,3224,Blue
382.14,3208.5,Blue
382.61,3202.5,Blue
383.08,3215,Blue
383.54,3258,Blue
384.01,3202.5,Blue
384.48,3202.5,Blue
384.95,3215,Blue
385.42,3202,Blue
385.88,3225,Blue
386.35,3223,Blue
386.82,3215,Blue
387.29,3216.5,Blue
387.76,3208.5,Blue
388.22,3218.5,Blue
388.69,3222,Blue
389.16,3222,Blue
389.63,3214.5,Blue
390.1,3239.5,Blue
390.56,3223.5,Blue
391.03,3240,Blue
391.5,3206,Blue
391.97,3225.5,Blue
392.43,3230.5,Blue
392.9,3233.5,Blue
393.37,3223,Blue
393.84,3214,Blue
394.3,3211.5,Blue
394.77,3220,Blue
395.24,3236.5,Blue
395.7,3238,Blue
396.17,3215.5,Blue
396.64,3234.5,Blue
397.11,3215.5,Blue
397.57,3217,Blue
398.04,3236.5,Blue
398.51,3232.5,Blue
398.98,3211,Blue
399.44,3237,Blue
399.91,3232.5,Blue
400.38,3220.5,Blue
400.84,3232.5,Blue
401.31,3244,Blue
401.78,3252.5,Blue
402.24,3237.5,Blue
402.71,3263.5,Blue
403.18,3236.5,Blue
403.64,3236,Blue
404.11,3231,Blue
404.58,3249,Blue
405.05,3257,Blue
405.51,3257.5,Blue
405.98,3244,Blue
406.45,3250,Blue
406.91,3261,Blue
407.38,3248,Blue
407.84,3277,Blue
408.31,3270,Blue
408.78,3271,Blue
409.24,3294.5,Blue
409.71,3273.5,Blue
410.18,3296.5,Blue
410.64,3302,Blue
411.11,3336,Blue
411.58,3325.5,Blue
412.04,3324.5,Blue
412.51,3356,Blue
412.97,3349.5,Blue
413.44,3355,Blue
413.91,3376,Blue
414.37,3392,Blue
414.84,3412,Blue
415.31,3420.5,Blue
415.77,3457,Blue
416.24,3449.5,Blue
416.7,3497,Blue
417.17,3509,Blue
417.64,3561,Blue
418.1,3571,Blue
418.57,3629,Blue
419.03,3674,Blue
419.5,3710.5,Blue
419.96,3771,Blue
420.43,3803,Blue
420.9,3847,Blue
421.36,3926.5,Blue
421.83,3974.5,Blue
422.29,4062.5,Blue
422.76,4125.5,Blue
423.22,4206.5,Blue
423.69,4301.5,Blue
424.16,4363,Blue
424.62,4515.5,Blue
425.09,4597,Blue
425.55,4726,Blue
426.02,4829,Blue
426.48,5019,Blue
426.95,5162,Blue
427.41,5352,Blue
427.88,5490,Blue
428.34,5660.5,Blue
428.81,5823.5,Blue
429.27,6057.5,Blue
429.74,6265.5,Blue
430.2,6472.5,Blue
430.67,6776,Blue
431.13,7100.5,Blue
431.6,7497.5,Blue
432.06,7747.5,Blue
432.53,8041.5,Blue
432.99,8428,Blue
433.46,8827,Blue
