"Gene_ID","Kmeans_Cluster"
"g_00005","5"
"g_00016","17"
"g_00028","5"
"g_00048","6"
"g_00071","3"
"g_00083","13"
"g_00096","6"
"g_00098","5"
"g_00120","6"
"g_00121","8"
"g_00123","15"
"g_00126","12"
"g_00128","8"
"g_00133","6"
"g_00141","1"
"g_00146","16"
"g_00152","6"
"g_00155","16"
"g_00160","17"
"g_00166","1"
"g_00179","15"
"g_00184","13"
"g_00198","13"
"g_00200","5"
"g_00201","8"
"g_00216","3"
"g_00219","12"
"g_00241","11"
"g_00243","24"
"g_00253","17"
"g_00254","13"
"g_00260","6"
"g_00287","5"
"g_00305","16"
"g_00366","1"
"g_00372","6"
"g_00382","16"
"g_00383","8"
"g_00386","17"
"g_00387","1"
"g_00392","13"
"g_00400","14"
"g_00406","1"
"g_00425","6"
"g_00434","3"
"g_00435","16"
"g_00441","8"
"g_00443","19"
"g_00459","18"
"g_00460","16"
"g_00470","8"
"g_00472","1"
"g_00477","6"
"g_00486","1"
"g_00490","5"
"g_00511","3"
"g_00523","5"
"g_00535","8"
"g_00543","5"
"g_00547","13"
"g_00551","5"
"g_00574","8"
"g_00583","1"
"g_00598","8"
"g_00603","24"
"g_00610","17"
"g_00611","5"
"g_00630","1"
"g_00632","12"
"g_00640","13"
"g_00648","15"
"g_00653","8"
"g_00676","13"
"g_00679","13"
"g_00685","12"
"g_00693","12"
"g_00701","12"
"g_00778","8"
"g_00789","4"
"g_00810","17"
"g_00812","8"
"g_00813","8"
"g_00822","8"
"g_00834","12"
"g_00864","8"
"g_00892","5"
"g_00899","13"
"g_00907","15"
"g_00943","5"
"g_00970","18"
"g_00980","8"
"g_00982","1"
"g_00992","12"
"g_01014","22"
"g_01028","6"
"g_01041","12"
"g_01042","6"
"g_01043","5"
"g_01051","5"
"g_01052","23"
"g_01066","24"
"g_01078","8"
"g_01087","3"
"g_01105","8"
"g_01106","17"
"g_01112","11"
"g_01117","3"
"g_01131","5"
"g_01132","1"
"g_01136","17"
"g_01144","5"
"g_01145","12"
"g_01148","1"
"g_01152","8"
"g_01174","12"
"g_01182","1"
"g_01205","15"
"g_01208","1"
"g_01259","8"
"g_01271","8"
"g_01316","12"
"g_01323","1"
"g_01331","12"
"g_01351","12"
"g_01363","12"
"g_01367","6"
"g_01380","8"
"g_01394","17"
"g_01395","17"
"g_01404","16"
"g_01429","1"
"g_01445","19"
"g_01446","15"
"g_01455","3"
"g_01477","8"
"g_01478","12"
"g_01492","15"
"g_01498","8"
"g_01510","8"
"g_01523","13"
"g_01530","13"
"g_01531","5"
"g_01547","12"
"g_01555","1"
"g_01562","21"
"g_01572","15"
"g_01581","15"
"g_01634","1"
"g_01668","21"
"g_01671","23"
"g_01676","8"
"g_01693","5"
"g_01713","15"
"g_01719","1"
"g_01773","14"
"g_01813","15"
"g_01832","17"
"g_01837","3"
"g_01838","5"
"g_01859","15"
"g_01860","6"
"g_01863","13"
"g_01883","17"
"g_01889","14"
"g_01899","5"
"g_01903","13"
"g_01932","8"
"g_01964","12"
"g_02003","12"
"g_02010","14"
"g_02044","5"
"g_02050","13"
"g_02054","8"
"g_02061","8"
"g_02065","6"
"g_02071","6"
"g_02072","6"
"g_02079","1"
"g_02082","22"
"g_02084","17"
"g_02090","13"
"g_02100","18"
"g_02113","13"
"g_02144","8"
"g_02168","17"
"g_02184","17"
"g_02186","17"
"g_02229","17"
"g_02244","6"
"g_02254","6"
"g_02256","13"
"g_02287","2"
"g_02291","18"
"g_02296","2"
"g_02330","17"
"g_02332","1"
"g_02336","1"
"g_02346","13"
"g_02354","24"
"g_02376","8"
"g_02400","14"
"g_02406","12"
"g_02428","19"
"g_02445","12"
"g_02446","12"
"g_02460","13"
"g_02462","13"
"g_02490","5"
"g_02493","8"
"g_02531","12"
"g_02556","1"
"g_02560","13"
"g_02624","5"
"g_02640","1"
"g_02641","17"
"g_02650","8"
"g_02680","1"
"g_02720","3"
"g_02723","1"
"g_02739","8"
"g_02740","1"
"g_02741","8"
"g_02745","1"
"g_02773","8"
"g_02810","13"
"g_02811","13"
"g_02816","19"
"g_02840","17"
"g_02857","8"
"g_02862","8"
"g_02893","6"
"g_02895","12"
"g_02897","12"
"g_02933","20"
"g_02942","13"
"g_02982","17"
"g_03006","13"
"g_03026","1"
"g_03037","17"
"g_03067","3"
"g_03080","5"
"g_03085","6"
"g_03086","6"
"g_03088","5"
"g_03098","11"
"g_03101","8"
"g_03113","5"
"g_03115","17"
"g_03118","13"
"g_03129","3"
"g_03132","15"
"g_03146","17"
"g_03149","10"
"g_03168","8"
"g_03175","5"
"g_03179","13"
"g_03203","15"
"g_03207","1"
"g_03236","1"
"g_03247","8"
"g_03270","16"
"g_03273","1"
"g_03282","11"
"g_03320","17"
"g_03330","16"
"g_03424","5"
"g_03428","13"
"g_03436","8"
"g_03442","3"
"g_03459","16"
"g_03477","13"
"g_03481","8"
"g_03495","13"
"g_03501","16"
"g_03534","5"
"g_03612","15"
"g_03626","1"
"g_03631","13"
"g_03632","13"
"g_03644","17"
"g_03645","17"
"g_03659","15"
"g_03670","11"
"g_03681","8"
"g_03702","5"
"g_03705","12"
"g_03738","16"
"g_03740","5"
