"Gene_ID","Kmeans_Cluster"
"g_00003","23"
"g_00005","5"
"g_00006","9"
"g_00011","1"
"g_00012","5"
"g_00014","5"
"g_00015","5"
"g_00016","5"
"g_00017","23"
"g_00022","5"
"g_00023","13"
"g_00028","13"
"g_00035","23"
"g_00036","5"
"g_00041","21"
"g_00042","8"
"g_00044","16"
"g_00045","13"
"g_00048","23"
"g_00049","9"
"g_00051","13"
"g_00054","13"
"g_00056","5"
"g_00060","13"
"g_00063","5"
"g_00066","20"
"g_00068","13"
"g_00071","24"
"g_00074","1"
"g_00075","21"
"g_00077","13"
"g_00078","21"
"g_00081","5"
"g_00082","23"
"g_00083","13"
"g_00089","18"
"g_00091","1"
"g_00092","22"
"g_00093","23"
"g_00094","23"
"g_00095","5"
"g_00096","5"
"g_00097","1"
"g_00098","13"
"g_00099","13"
"g_00105","4"
"g_00106","11"
"g_00110","5"
"g_00111","4"
"g_00112","5"
"g_00113","5"
"g_00115","5"
"g_00116","23"
"g_00117","13"
"g_00118","4"
"g_00120","13"
"g_00121","13"
"g_00122","24"
"g_00123","16"
"g_00124","11"
"g_00126","13"
"g_00128","13"
"g_00130","18"
"g_00133","13"
"g_00134","3"
"g_00135","7"
"g_00136","20"
"g_00137","20"
"g_00141","23"
"g_00145","13"
"g_00146","13"
"g_00147","21"
"g_00148","3"
"g_00151","13"
"g_00152","5"
"g_00154","13"
"g_00155","13"
"g_00156","13"
"g_00159","16"
"g_00160","5"
"g_00161","13"
"g_00162","24"
"g_00166","23"
"g_00167","23"
"g_00169","4"
"g_00171","23"
"g_00172","13"
"g_00175","24"
"g_00176","5"
"g_00179","16"
"g_00183","20"
"g_00184","23"
"g_00185","21"
"g_00193","5"
"g_00194","13"
"g_00196","11"
"g_00197","13"
"g_00198","23"
"g_00200","5"
"g_00201","23"
"g_00202","5"
"g_00204","1"
"g_00206","13"
"g_00210","5"
"g_00216","16"
"g_00219","13"
"g_00220","13"
"g_00223","4"
"g_00226","13"
"g_00230","4"
"g_00231","13"
"g_00232","14"
"g_00233","23"
"g_00236","6"
"g_00238","13"
"g_00241","17"
"g_00242","23"
"g_00243","4"
"g_00250","23"
"g_00251","23"
"g_00252","13"
"g_00253","5"
"g_00254","13"
"g_00255","15"
"g_00256","23"
"g_00258","18"
"g_00259","4"
"g_00260","5"
"g_00265","22"
"g_00267","1"
"g_00269","20"
"g_00276","13"
"g_00278","23"
"g_00287","13"
"g_00288","23"
"g_00290","18"
"g_00293","22"
"g_00296","5"
"g_00303","17"
"g_00304","3"
"g_00305","5"
"g_00308","13"
"g_00309","8"
"g_00316","5"
"g_00317","13"
"g_00320","13"
"g_00322","20"
"g_00325","23"
"g_00327","24"
"g_00335","11"
"g_00338","20"
"g_00339","18"
"g_00340","5"
"g_00342","11"
"g_00343","20"
"g_00350","11"
"g_00351","5"
"g_00352","13"
"g_00353","13"
"g_00354","21"
"g_00357","24"
"g_00358","13"
"g_00360","4"
"g_00361","13"
"g_00362","20"
"g_00366","13"
"g_00370","13"
"g_00371","22"
"g_00372","5"
"g_00375","16"
"g_00376","23"
"g_00378","13"
"g_00382","23"
"g_00383","13"
"g_00385","13"
"g_00386","23"
"g_00387","13"
"g_00388","4"
"g_00389","21"
"g_00390","23"
"g_00391","23"
"g_00392","13"
"g_00394","13"
"g_00400","3"
"g_00406","3"
"g_00407","17"
"g_00409","21"
