"Gene_ID","Kmeans_Cluster"
"g_00003","3"
"g_00005","23"
"g_00006","5"
"g_00011","14"
"g_00012","24"
"g_00014","23"
"g_00015","23"
"g_00016","23"
"g_00017","5"
"g_00022","23"
"g_00023","5"
"g_00028","5"
"g_00035","18"
"g_00036","23"
"g_00041","19"
"g_00042","9"
"g_00044","24"
"g_00045","5"
"g_00048","23"
"g_00049","13"
"g_00051","5"
"g_00054","13"
"g_00056","23"
"g_00060","5"
"g_00063","23"
"g_00066","20"
"g_00068","13"
"g_00071","24"
"g_00074","1"
"g_00075","19"
"g_00077","5"
"g_00078","19"
"g_00081","3"
"g_00082","23"
"g_00083","13"
"g_00089","18"
"g_00091","14"
"g_00092","20"
"g_00093","18"
"g_00094","9"
"g_00095","23"
"g_00096","23"
"g_00097","11"
"g_00098","13"
"g_00099","13"
"g_00105","10"
"g_00106","21"
"g_00110","23"
"g_00111","10"
"g_00112","23"
"g_00113","23"
"g_00115","23"
"g_00116","23"
"g_00117","5"
"g_00118","10"
"g_00120","5"
"g_00121","5"
"g_00122","24"
"g_00123","23"
"g_00124","21"
"g_00126","5"
"g_00128","5"
"g_00130","5"
"g_00133","5"
"g_00134","3"
"g_00135","16"
"g_00136","20"
"g_00137","20"
"g_00141","13"
"g_00145","5"
"g_00146","5"
"g_00147","19"
"g_00148","3"
"g_00151","13"
"g_00152","23"
"g_00154","5"
"g_00155","13"
"g_00156","13"
"g_00159","17"
"g_00160","23"
"g_00161","5"
"g_00162","24"
"g_00166","13"
"g_00167","18"
"g_00169","10"
"g_00171","5"
"g_00172","13"
"g_00175","24"
"g_00176","13"
"g_00179","24"
"g_00183","20"
"g_00184","9"
"g_00185","19"
"g_00193","23"
"g_00194","5"
"g_00196","21"
"g_00197","13"
"g_00198","13"
"g_00200","23"
"g_00201","13"
"g_00202","13"
"g_00204","1"
"g_00206","5"
"g_00210","23"
"g_00216","17"
"g_00219","13"
"g_00220","13"
"g_00223","24"
"g_00226","13"
"g_00230","23"
"g_00231","5"
"g_00232","11"
"g_00233","5"
"g_00236","6"
"g_00238","13"
"g_00241","17"
"g_00242","23"
"g_00243","10"
"g_00250","18"
"g_00251","3"
"g_00252","5"
"g_00253","23"
"g_00254","13"
"g_00255","15"
"g_00256","5"
"g_00258","18"
"g_00259","10"
"g_00260","23"
"g_00265","22"
"g_00267","11"
"g_00269","1"
"g_00276","5"
"g_00278","13"
"g_00287","13"
"g_00288","5"
"g_00290","18"
"g_00293","22"
"g_00296","23"
"g_00303","17"
"g_00304","3"
"g_00305","23"
"g_00308","13"
"g_00309","13"
"g_00316","23"
"g_00317","13"
"g_00320","5"
"g_00322","20"
"g_00325","23"
"g_00327","8"
"g_00335","21"
"g_00338","1"
"g_00339","18"
"g_00340","23"
"g_00342","21"
"g_00343","20"
"g_00350","21"
"g_00351","23"
"g_00352","5"
"g_00353","5"
"g_00354","19"
"g_00357","24"
"g_00358","5"
"g_00360","10"
"g_00361","5"
"g_00362","20"
"g_00366","5"
"g_00370","5"
"g_00371","22"
"g_00372","23"
"g_00375","9"
"g_00376","13"
"g_00378","5"
"g_00382","13"
"g_00383","5"
"g_00385","5"
"g_00386","9"
"g_00387","13"
"g_00388","9"
"g_00389","19"
"g_00390","5"
"g_00391","5"
"g_00392","5"
"g_00394","13"
"g_00400","3"
"g_00406","5"
"g_00407","17"
"g_00409","19"
"g_00412","19"
"g_00414","4"
"g_00415","5"
"g_00416","13"
"g_00417","5"
"g_00421","11"
"g_00425","23"
"g_00426","5"
"g_00427","5"
"g_00430","13"
"g_00434","24"
"g_00435","23"
"g_00436","5"
"g_00437","5"
"g_00438","1"
"g_00439","5"
"g_00441","5"
"g_00442","14"
"g_00443","2"
"g_00446","13"
"g_00450","21"
"g_00454","19"
"g_00456","23"
"g_00457","23"
"g_00460","5"
"g_00462","5"
"g_00467","6"
"g_00469","10"
"g_00470","13"
"g_00471","19"
"g_00472","13"
"g_00477","23"
"g_00479","22"
"g_00481","24"
"g_00483","23"
"g_00484","8"
"g_00485","21"
"g_00486","5"
"g_00487","15"
"g_00490","23"
"g_00491","10"
"g_00494","5"
"g_00495","1"
"g_00498","9"
"g_00503","21"
"g_00504","13"
"g_00505","5"
"g_00510","24"
"g_00511","24"
"g_00512","23"
"g_00513","18"
"g_00516","9"
"g_00517","23"
"g_00518","5"
"g_00519","5"
"g_00520","9"
"g_00523","5"
"g_00524","4"
"g_00527","13"
"g_00533","17"
"g_00534","6"
"g_00535","13"
"g_00536","9"
"g_00537","13"
"g_00539","5"
"g_00541","15"
"g_00542","4"
"g_00543","18"
"g_00546","24"
"g_00547","13"
"g_00549","5"
"g_00550","1"
"g_00551","9"
"g_00552","4"
"g_00557","23"
"g_00558","19"
"g_00559","10"
"g_00563","3"
"g_00564","24"
"g_00565","21"
"g_00569","10"
"g_00570","8"
"g_00574","8"
"g_00575","11"
"g_00581","23"
"g_00583","13"
"g_00587","8"
"g_00588","13"
"g_00591","2"
"g_00592","10"
"g_00598","13"
"g_00602","10"
"g_00603","19"
"g_00604","13"
"g_00606","13"
"g_00607","23"
"g_00608","23"
"g_00609","24"
"g_00610","23"
"g_00611","5"
"g_00612","20"
"g_00619","1"
"g_00623","11"
"g_00627","17"
"g_00629","18"
"g_00630","13"
"g_00631","3"
"g_00632","13"
"g_00634","3"
"g_00635","23"
"g_00637","5"
"g_00638","5"
"g_00639","5"
"g_00640","5"
"g_00647","14"
"g_00648","23"
"g_00651","19"
"g_00652","13"
"g_00653","13"
"g_00662","8"
"g_00663","13"
"g_00665","16"
"g_00666","11"
"g_00670","13"
"g_00674","3"
"g_00675","16"
"g_00676","5"
"g_00679","5"
"g_00684","3"
"g_00685","13"
"g_00686","5"
"g_00693","5"
"g_00695","18"
"g_00697","11"
"g_00701","13"
"g_00702","5"
"g_00704","19"
"g_00705","24"
"g_00706","23"
"g_00707","5"
"g_00708","5"
"g_00711","9"
"g_00712","11"
"g_00714","3"
"g_00716","5"
"g_00717","13"
"g_00718","13"
"g_00722","13"
"g_00725","24"
"g_00727","21"
"g_00728","17"
"g_00730","5"
"g_00732","4"
"g_00735","18"
"g_00737","1"
"g_00738","13"
"g_00739","13"
"g_00741","9"
"g_00743","23"
"g_00744","5"
"g_00747","5"
"g_00748","12"
"g_00754","14"
"g_00756","13"
"g_00759","23"
"g_00760","5"
"g_00761","19"
"g_00764","9"
"g_00766","15"
"g_00767","24"
"g_00768","8"
"g_00770","5"
"g_00771","23"
"g_00778","13"
"g_00779","13"
"g_00780","13"
"g_00782","11"
"g_00784","18"
"g_00789","23"
"g_00790","23"
"g_00791","20"
"g_00796","19"
"g_00798","13"
"g_00803","9"
"g_00805","21"
"g_00807","18"
"g_00808","13"
"g_00810","23"
"g_00812","5"
"g_00813","5"
"g_00818","21"
"g_00821","18"
"g_00822","13"
"g_00827","10"
"g_00829","15"
"g_00830","5"
"g_00831","5"
"g_00832","5"
"g_00834","5"
"g_00836","13"
"g_00841","21"
"g_00844","18"
"g_00845","23"
"g_00852","12"
"g_00853","9"
"g_00858","23"
"g_00859","21"
"g_00860","23"
"g_00864","5"
"g_00874","5"
"g_00875","5"
"g_00878","1"
"g_00880","23"
"g_00885","23"
"g_00886","8"
"g_00887","23"
"g_00888","5"
"g_00889","18"
"g_00892","13"
"g_00895","14"
"g_00899","5"
"g_00900","22"
"g_00902","18"
"g_00907","24"
"g_00909","5"
"g_00918","5"
"g_00919","8"
"g_00920","5"
"g_00931","21"
"g_00932","13"
"g_00937","19"
"g_00940","22"
"g_00943","23"
"g_00944","5"
"g_00947","20"
"g_00949","10"
"g_00951","13"
"g_00952","5"
"g_00953","21"
"g_00954","5"
"g_00959","24"
"g_00961","23"
"g_00964","13"
"g_00966","9"
"g_00967","24"
"g_00968","23"
"g_00969","13"
"g_00975","23"
"g_00978","6"
"g_00979","23"
"g_00980","5"
"g_00981","5"
"g_00982","13"
"g_00985","17"
"g_00990","3"
"g_00992","5"
"g_00994","22"
"g_00997","5"
"g_00998","5"
"g_01001","5"
"g_01004","3"
"g_01005","9"
"g_01010","10"
"g_01011","5"
"g_01016","23"
"g_01017","5"
"g_01020","9"
"g_01027","17"
"g_01028","23"
"g_01029","5"
"g_01033","21"
"g_01035","13"
"g_01039","8"
"g_01041","13"
"g_01042","23"
"g_01043","5"
"g_01048","18"
"g_01051","23"
"g_01053","22"
"g_01054","5"
"g_01055","5"
"g_01056","5"
"g_01058","13"
"g_01059","5"
"g_01066","4"
"g_01067","4"
"g_01070","18"
"g_01071","3"
"g_01074","20"
"g_01075","13"
"g_01077","12"
"g_01078","5"
"g_01079","5"
"g_01082","10"
"g_01087","17"
"g_01088","24"
"g_01092","5"
"g_01097","14"
"g_01102","3"
"g_01103","23"
"g_01105","23"
"g_01106","23"
"g_01108","9"
"g_01110","22"
"g_01111","2"
"g_01112","17"
"g_01113","24"
"g_01114","23"
"g_01115","23"
"g_01117","24"
"g_01118","5"
"g_01119","5"
"g_01120","5"
"g_01130","3"
"g_01131","9"
"g_01132","13"
"g_01135","18"
"g_01136","23"
"g_01137","5"
"g_01138","13"
"g_01142","4"
"g_01143","10"
"g_01144","23"
"g_01145","13"
"g_01146","20"
"g_01148","13"
"g_01152","5"
"g_01153","13"
"g_01157","23"
"g_01158","21"
"g_01159","9"
"g_01160","9"
"g_01161","5"
"g_01165","5"
"g_01167","9"
"g_01168","5"
"g_01169","5"
"g_01170","9"
"g_01174","5"
"g_01178","23"
"g_01179","5"
"g_01181","22"
"g_01182","13"
"g_01184","16"
"g_01187","19"
"g_01192","5"
"g_01193","9"
"g_01194","18"
"g_01198","13"
"g_01200","18"
"g_01202","24"
"g_01203","5"
"g_01204","21"
"g_01205","8"
"g_01208","13"
"g_01214","13"
"g_01223","19"
"g_01227","23"
"g_01228","20"
"g_01229","13"
"g_01231","22"
"g_01234","21"
"g_01236","17"
"g_01238","24"
"g_01240","4"
"g_01242","5"
"g_01247","23"
"g_01248","5"
"g_01249","9"
"g_01254","17"
"g_01257","23"
"g_01258","5"
"g_01259","23"
"g_01260","18"
"g_01262","14"
"g_01270","11"
"g_01271","5"
"g_01274","13"
"g_01275","23"
"g_01277","19"
"g_01278","5"
"g_01279","5"
"g_01280","5"
"g_01286","23"
"g_01287","11"
"g_01288","5"
"g_01291","14"
"g_01295","9"
"g_01296","6"
"g_01299","10"
"g_01304","10"
"g_01310","21"
"g_01316","5"
"g_01317","5"
"g_01319","5"
"g_01320","13"
"g_01322","21"
"g_01323","13"
"g_01324","19"
"g_01326","21"
"g_01327","19"
"g_01328","5"
"g_01329","5"
"g_01331","5"
"g_01332","11"
"g_01334","5"
"g_01335","13"
"g_01337","19"
"g_01342","4"
"g_01344","21"
"g_01351","13"
"g_01352","23"
"g_01353","20"
"g_01355","8"
"g_01358","17"
"g_01362","18"
"g_01363","13"
"g_01365","20"
"g_01367","24"
"g_01369","21"
"g_01375","24"
"g_01377","13"
"g_01378","13"
