"Gene_ID","Kmeans_Cluster"
"g_04575","2"
"g_04576","7"
"g_04588","2"
"g_04600","6"
"g_04601","2"
"g_04613","2"
"g_04614","2"
"g_04621","8"
"g_04685","7"
"g_04687","7"
"g_04696","7"
"g_04711","2"
"g_04716","6"
"g_04717","2"
"g_04721","2"
"g_04722","2"
"g_04731","2"
"g_04733","8"
"g_04760","6"
"g_04762","2"
"g_04765","2"
"g_04766","2"
"g_04777","6"
"g_04780","2"
"g_04822","2"
"g_04851","6"
"g_04860","8"
"g_04876","3"
"g_04879","2"
"g_04882","2"
"g_04897","8"
"g_04903","2"
"g_04924","4"
"g_04925","6"
"g_04946","2"
"g_04974","7"
"g_04987","4"
"g_05014","7"
"g_05018","2"
"g_05051","2"
"g_05056","7"
"g_05071","6"
"g_05073","6"
"g_05075","1"
"g_05086","2"
"g_05104","2"
"g_05115","6"
"g_05116","7"
"g_05117","6"
"g_05119","2"
"g_05142","6"
"g_05144","7"
"g_05172","2"
"g_05173","8"
"g_05188","2"
"g_05212","7"
"g_05220","2"
"g_05234","2"
"g_05242","7"
"g_05274","2"
"g_05276","2"
"g_05293","7"
"g_05334","2"
"g_05343","7"
"g_05359","6"
"g_05362","6"
"g_05371","2"
"g_05373","2"
"g_05393","1"
"g_05408","9"
"g_05428","4"
"g_05434","8"
"g_05436","8"
"g_05439","2"
"g_05452","1"
"g_05453","7"
"g_05455","7"
"g_05488","2"
"g_05517","2"
"g_05518","2"
"g_05521","9"
"g_05526","2"
"g_05533","9"
"g_05553","2"
"g_05557","1"
"g_05560","4"
"g_05561","2"
"g_05571","6"
"g_05608","2"
"g_05609","2"
"g_05615","2"
"g_05631","3"
"g_05650","2"
"g_05651","2"
"g_05666","4"
"g_05668","6"
"g_05669","7"
"g_05675","7"
"g_05695","2"
"g_05696","2"
"g_05704","6"
"g_05709","1"
"g_05718","3"
"g_05735","2"
"g_05736","8"
"g_05737","2"
"g_05738","2"
"g_05758","2"
"g_05777","2"
"g_05790","7"
"g_05804","6"
"g_05806","7"
"g_05811","2"
"g_05818","2"
"g_05824","2"
"g_05844","10"
"g_05859","1"
"g_05866","2"
"g_05875","2"
"g_05879","8"
"g_05880","9"
"g_05904","2"
"g_05917","6"
"g_05920","6"
"g_05943","2"
"g_05956","6"
"g_05977","6"
"g_05978","2"
"g_06003","7"
"g_06008","2"
"g_06014","7"
"g_06015","8"
"g_06016","9"
"g_06023","4"
"g_06029","2"
"g_06034","2"
"g_06054","1"
"g_06063","2"
"g_06078","7"
"g_06086","3"
"g_06093","9"
"g_06106","5"
"g_06119","1"
"g_06122","2"
"g_06135","1"
"g_06136","7"
"g_06148","2"
"g_06150","2"
"g_06179","3"
"g_06184","2"
"g_06186","9"
"g_06192","7"
"g_06194","2"
"g_06200","6"
"g_06201","6"
"g_06237","9"
"g_06240","2"
"g_06312","2"
"g_06315","2"
"g_06321","7"
"g_06328","5"
"g_06337","6"
"g_06339","2"
"g_06353","3"
"g_06374","7"
"g_06376","2"
"g_06392","6"
"g_06397","1"
"g_06398","1"
"g_06421","5"
"g_06437","1"
"g_06438","2"
"g_06467","2"
"g_06472","2"
"g_06482","2"
"g_06502","7"
"g_06523","2"
"g_06534","3"
"g_06537","2"
"g_06543","2"
"g_06554","6"
"g_06558","7"
"g_06570","7"
"g_06575","2"
"g_06583","2"
"g_06586","5"
"g_06594","2"
"g_06600","8"
"g_06617","2"
"g_06628","2"
"g_06637","1"
"g_06652","1"
"g_06655","7"
"g_06663","2"
"g_06667","5"
"g_06668","6"
"g_06670","2"
"g_06686","2"
"g_06687","4"
"g_06689","2"
"g_06696","7"
"g_06722","6"
"g_06723","2"
"g_06725","7"
"g_06726","2"
"g_06737","7"
"g_06790","1"
"g_06792","8"
"g_06804","1"
"g_06811","6"
"g_06822","2"
"g_06828","7"
"g_06842","6"
"g_06847","2"
"g_06850","1"
"g_06855","3"
"g_06856","2"
"g_06876","2"
"g_06880","6"
"g_06885","6"
"g_06886","2"
"g_06896","1"
"g_06901","10"
"g_06905","2"
"g_06911","2"
"g_06933","7"
"g_06938","1"
"g_06956","2"
"g_06960","2"
"g_06976","2"
"g_07008","7"
"g_07011","6"
"g_07022","2"
"g_07025","7"
"g_07034","7"
"g_07054","7"
"g_07086","7"
"g_07105","2"
"g_07110","6"
"g_07125","6"
"g_07127","7"
"g_07139","7"
"g_07157","10"
"g_07165","10"
"g_07177","3"
"g_07191","1"
"g_07206","9"
"g_07217","2"
"g_07221","7"
"g_07239","6"
"g_07248","7"
"g_07250","2"
"g_07309","6"
"g_07329","2"
"g_07344","2"
"g_07349","2"
"g_07359","6"
"g_07376","7"
"g_07381","6"
"g_07385","7"
"g_07405","6"
"g_07418","2"
"g_07420","1"
"g_07449","7"
"g_07452","2"
"g_07488","1"
"g_07490","7"
"g_07491","7"
"g_07504","6"
"g_07513","10"
"g_07521","7"
"g_07545","6"
"g_07566","6"
"g_07567","2"
"g_07570","8"
"g_07613","1"
"g_07643","9"
"g_07666","2"
"g_07675","7"
"g_07698","2"
"g_07719","6"
"g_07738","6"
