"Gene_ID","Kmeans_Cluster"
"g_00005","2"
"g_00016","8"
"g_00028","2"
"g_00048","6"
"g_00071","6"
"g_00083","8"
"g_00096","6"
"g_00098","2"
"g_00120","6"
"g_00121","8"
"g_00123","6"
"g_00126","8"
"g_00128","8"
"g_00133","6"
"g_00141","2"
"g_00146","8"
"g_00152","6"
"g_00155","6"
"g_00160","6"
"g_00166","2"
"g_00179","6"
"g_00184","8"
"g_00198","8"
"g_00200","2"
"g_00201","8"
"g_00216","6"
"g_00219","8"
"g_00241","3"
"g_00243","1"
"g_00253","6"
"g_00254","8"
"g_00260","6"
"g_00287","2"
"g_00305","8"
"g_00366","2"
"g_00372","6"
"g_00382","8"
"g_00383","8"
"g_00386","8"
"g_00387","2"
"g_00392","8"
"g_00400","3"
"g_00406","2"
"g_00425","6"
"g_00434","3"
"g_00435","8"
"g_00441","8"
"g_00443","4"
"g_00459","2"
"g_00460","8"
"g_00470","8"
"g_00472","2"
"g_00477","6"
"g_00486","2"
"g_00490","2"
"g_00511","6"
"g_00523","2"
"g_00535","8"
"g_00543","2"
"g_00547","8"
"g_00551","2"
"g_00574","8"
"g_00583","2"
"g_00598","8"
"g_00603","1"
"g_00610","6"
"g_00611","2"
"g_00630","2"
"g_00632","8"
"g_00640","8"
"g_00648","6"
"g_00653","8"
"g_00676","8"
"g_00679","8"
"g_00685","8"
"g_00693","8"
"g_00701","8"
"g_00778","8"
"g_00789","7"
"g_00810","6"
"g_00812","8"
"g_00813","8"
"g_00822","8"
"g_00834","8"
"g_00864","8"
"g_00892","2"
"g_00899","8"
"g_00907","6"
"g_00943","2"
"g_00970","2"
"g_00980","8"
"g_00982","2"
"g_00992","8"
"g_01014","1"
"g_01028","6"
"g_01041","8"
"g_01042","6"
"g_01043","2"
"g_01051","2"
"g_01052","5"
"g_01066","1"
"g_01078","8"
"g_01087","3"
"g_01105","8"
"g_01106","8"
"g_01112","3"
"g_01117","6"
"g_01131","2"
"g_01132","2"
"g_01136","6"
"g_01144","2"
"g_01145","8"
"g_01148","2"
"g_01152","8"
"g_01174","8"
"g_01182","2"
"g_01205","6"
"g_01208","2"
"g_01259","8"
"g_01271","8"
"g_01316","8"
"g_01323","2"
"g_01331","8"
"g_01351","8"
"g_01363","8"
"g_01367","6"
"g_01380","8"
"g_01394","6"
"g_01395","8"
"g_01404","8"
"g_01429","8"
"g_01445","4"
"g_01446","6"
"g_01455","3"
"g_01477","8"
"g_01478","8"
"g_01492","6"
"g_01498","8"
"g_01510","8"
"g_01523","8"
"g_01530","8"
"g_01531","2"
"g_01547","8"
"g_01555","2"
"g_01562","9"
"g_01572","6"
"g_01581","6"
"g_01634","2"
"g_01668","9"
"g_01671","5"
"g_01676","8"
"g_01693","2"
"g_01713","6"
"g_01719","2"
"g_01773","3"
"g_01813","6"
"g_01832","8"
"g_01837","6"
"g_01838","2"
"g_01859","6"
"g_01860","6"
"g_01863","8"
"g_01883","6"
"g_01889","4"
"g_01899","2"
"g_01903","8"
"g_01932","8"
"g_01964","8"
"g_02003","8"
"g_02010","3"
"g_02044","2"
"g_02050","8"
"g_02054","8"
"g_02061","8"
"g_02065","6"
"g_02071","6"
"g_02072","6"
"g_02079","2"
"g_02082","5"
"g_02084","6"
"g_02090","8"
"g_02100","1"
"g_02113","8"
"g_02144","8"
"g_02168","6"
"g_02184","8"
"g_02186","8"
"g_02229","8"
"g_02244","6"
"g_02254","6"
"g_02256","8"
"g_02287","7"
"g_02291","2"
"g_02296","6"
"g_02330","6"
"g_02332","2"
"g_02336","8"
"g_02346","8"
"g_02354","1"
"g_02376","8"
"g_02400","3"
"g_02406","8"
"g_02428","4"
"g_02445","8"
"g_02446","8"
"g_02460","8"
"g_02462","8"
"g_02490","2"
"g_02493","8"
"g_02531","8"
"g_02556","2"
"g_02560","8"
"g_02624","2"
"g_02640","2"
"g_02641","8"
"g_02650","8"
"g_02680","2"
"g_02720","3"
"g_02723","2"
"g_02739","8"
"g_02740","8"
"g_02741","8"
"g_02745","2"
"g_02773","8"
"g_02810","8"
"g_02811","8"
"g_02816","4"
"g_02840","8"
"g_02857","8"
"g_02862","8"
"g_02893","6"
"g_02895","8"
"g_02897","8"
"g_02933","4"
"g_02942","8"
"g_02982","8"
"g_03006","8"
"g_03026","2"
"g_03037","6"
"g_03067","6"
"g_03080","2"
"g_03085","6"
"g_03086","6"
"g_03088","2"
"g_03098","3"
"g_03101","8"
"g_03113","2"
"g_03115","8"
"g_03118","8"
"g_03129","3"
"g_03132","6"
"g_03146","8"
"g_03149","10"
"g_03168","8"
"g_03175","2"
"g_03179","8"
"g_03203","6"
"g_03207","8"
"g_03236","2"
"g_03247","8"
"g_03270","6"
"g_03273","2"
"g_03282","3"
"g_03320","6"
"g_03330","8"
"g_03424","2"
"g_03428","8"
"g_03436","8"
"g_03442","6"
"g_03459","8"
"g_03477","8"
"g_03481","8"
"g_03495","8"
"g_03501","6"
"g_03534","2"
