,0
0,1.3755288124084473
1,1.3627618551254272
2,1.352797269821167
3,1.3410484790802002
4,1.3307583332061768
5,1.3198812007904053
6,1.3100173473358154
7,1.2982158660888672
8,1.2851712703704834
9,1.2737735509872437
10,1.2561429738998413
11,1.2412598133087158
12,1.2232692241668701
13,1.2055299282073975
14,1.1861107349395752
15,1.171252965927124
16,1.1513569355010986
17,1.128646731376648
18,1.103825330734253
19,1.0826091766357422
20,1.0639268159866333
21,1.054107666015625
22,1.0272266864776611
23,1.0031006336212158
24,0.990098237991333
25,0.9683098793029785
26,0.9406111240386963
27,0.9367700815200806
28,0.9250612258911133
29,0.8999847173690796
30,0.8979955315589905
31,0.8704280257225037
32,0.8587139844894409
33,0.8472908735275269
34,0.8469406366348267
35,0.8350072503089905
36,0.8079994916915894
37,0.8076077103614807
38,0.8001068234443665
39,0.804455041885376
40,0.7897816300392151
41,0.7785595059394836
42,0.7842696905136108
43,0.7717410326004028
44,0.7554676532745361
45,0.7639626264572144
46,0.7273749113082886
47,0.7331099510192871
48,0.7340155839920044
49,0.7285164594650269
50,0.7228978276252747
51,0.7187546491622925
52,0.7033315896987915
53,0.6966755390167236
54,0.6966655850410461
55,0.6827652454376221
56,0.6755186319351196
57,0.6739768981933594
58,0.6682701110839844
59,0.644066333770752
60,0.6685813069343567
61,0.6293309926986694
62,0.6492751836776733
63,0.6397390365600586
64,0.6321298480033875
65,0.6334491968154907
66,0.6211616396903992
67,0.6232223510742188
68,0.6044623851776123
69,0.6054441928863525
70,0.6042376756668091
71,0.593622088432312
72,0.594901978969574
73,0.5870934724807739
74,0.588376522064209
75,0.5878126621246338
76,0.5950061082839966
77,0.5970842242240906
78,0.5822376608848572
79,0.57161545753479
80,0.5795305967330933
81,0.5622391104698181
82,0.5572989583015442
83,0.5758007764816284
84,0.5629417300224304
85,0.5510124564170837
86,0.5491430759429932
87,0.5362853407859802
88,0.5299564003944397
89,0.5365056991577148
90,0.5261892676353455
91,0.5181374549865723
92,0.5334482789039612
93,0.5262846946716309
94,0.5275196433067322
95,0.5248528718948364
96,0.5030002593994141
97,0.528621256351471
98,0.500766932964325
99,0.4835861325263977
