"baseMean_YvsD","log2FC_YvsD","lfcSE_YvsD","stat_YvsD","pvalue_YvsD","padj_YvsD","gene_id","B_DEGs_label","Y_DEGs_label"
144.986303405326,-4.92882172037305,1.69826662721654,-2.90226613500107,0.00370473659423426,0.0359680646512921,"g_00005",0,1
221.008269005874,3.09012115981494,1.06580634073953,2.89932705567392,0.0037396458684084,0.0362030116492939,"g_00016",0,1
37.1615648265505,-4.47579326218243,1.59285919839793,-2.80991142637347,0.00495551358254163,0.0445526700696358,"g_00018",0,1
44.6374982209113,5.51881361745569,1.70636242667891,3.2342564106952,0.00121959907179815,0.0156276841971918,"g_00019",0,1
58.9258696337472,-4.60294722213558,1.59906232413887,-2.87852896829044,0.00399534585200789,0.0379443179609285,"g_00028",0,1
45.0160508590757,6.18940597330473,1.42207707606224,4.35237026001665,1.34673569399234e-05,0.000528982523463787,"g_00032",0,1
18.9917670291699,5.12068371503589,1.82474898071512,2.80624007419863,0.00501233328374617,0.0449514293347669,"g_00039",0,1
179.760051426778,4.58132055886107,1.02942019049034,4.4503892591021,8.57147843486975e-06,0.000377294845552644,"g_00048",0,1
47.4546524923149,6.92083435151713,1.34254081102766,5.15502716540847,2.5359416292763e-07,3.1032007896531e-05,"g_00069",0,1
392.018596690668,5.5866650528139,0.785607634231303,7.11126624715187,1.14983076655665e-12,6.74042463864021e-09,"g_00071",0,1
34.9381080728956,7.7765321929272,1.65343397383923,4.70326140382267,2.56038266045036e-06,0.000154213159193517,"g_00079",0,1
42.5329193006776,4.32913386195859,1.2475980236865,3.46997492763456,0.000520506950284769,0.00825833365211274,"g_00080",0,1
84.0326566851311,2.20077735835112,0.797283123595995,2.76034609691089,0.00577401561521351,0.0497729282975014,"g_00083",0,1
40.8325660055665,7.28196039754566,1.53628703862055,4.73997385546142,2.13745797406723e-06,0.000135483622209489,"g_00087",0,1
40.4724941977102,-4.92825760978613,1.69974593607325,-2.8994083793319,0.00373867592830737,0.0362007116741483,"g_00090",0,1
111.490858233927,8.4377559006826,1.60204330914202,5.26687128402382,1.38768431364139e-07,2.06764962732568e-05,"g_00096",0,1
47.9380950873883,4.84168791252623,1.61326417206302,3.00117488280592,0.00268940059161198,0.0282230519593553,"g_00098",0,1
80.8582494666147,3.77459658348752,0.934876839636388,4.03753352682865,5.40161269402461e-05,0.00149211964137747,"g_00120",0,1
398.047034763287,4.65272580115338,0.881423988468265,5.27864666950903,1.30141474577402e-07,2.01113198156228e-05,"g_00121",0,1
215.986679193185,3.7539842342609,0.760467705443394,4.93641506061342,7.9571669010803e-07,6.67254707253845e-05,"g_00123",0,1
62.7455466643632,5.8088704049276,1.30605821385635,4.44763513854102,8.6820837946086e-06,0.000381158982304379,"g_00126",0,1
65.3839020602965,4.50958982022764,1.06785104563332,4.22305136907284,2.410168595359e-05,0.000815762132773356,"g_00128",0,1
155.333698524704,4.36296015664424,0.928958089129224,4.69661678788323,2.64506026373889e-06,0.000158255945226599,"g_00133",0,1
60.063641898583,6.51535411589851,1.7330183135348,3.75954141108255,0.000170225100381305,0.00360209898447717,"g_00141",0,1
43.0345230976211,4.5639983917958,1.06642633836703,4.27971274489004,1.87134684242555e-05,0.000675294355314714,"g_00146",0,1
182.520529883107,3.05523168720336,1.02712356487568,2.97455125330821,0.00293417434404791,0.0301082693505064,"g_00152",0,1
97.8763644469969,4.15481984712066,1.26512919874061,3.2841071498916,0.00102306018125981,0.0136111730530439,"g_00155",0,1
185.049396098779,5.02644134696067,0.945120266498909,5.31830871173735,1.04736254089916e-07,1.71724595190266e-05,"g_00160",0,1
45.5682297451484,5.89258089203681,1.43696159625564,4.1007225992618,4.11862039251372e-05,0.001223977039395,"g_00166",0,1
29.6552081785292,7.72919293139449,1.55129623366061,4.98240939653148,6.27973967124269e-07,5.70844167392442e-05,"g_00168",0,1
38.5713800926999,-4.53593805751884,1.59918618517786,-2.83640397819867,0.00456246954061767,0.0418893719306379,"g_00174",0,1
188.913541764638,3.02295891655053,1.0679788551495,2.83054191754327,0.00464692216392956,0.0424485862321328,"g_00179",0,1
42.717752803895,4.89692168882795,1.19165021533465,4.10936164472789,3.96754332440546e-05,0.00119019698162573,"g_00180",0,1
132.885798219509,4.47563827871812,1.57386974028811,2.84371581977225,0.0044590799052438,0.0411496766481695,"g_00184",0,1
75.506325693747,3.56428386744083,0.945486882048158,3.76978669415244,0.000163387128124692,0.00349431379947814,"g_00198",0,1
123.175613548022,4.24908837779334,1.51394516512166,2.80663294529026,0.00500622499110775,0.0449216279293618,"g_00200",0,1
126.387185049931,2.6321369162188,0.893732272642904,2.94510671348497,0.00322843293010973,0.0324083615239133,"g_00201",0,1
1087.35762405437,3.057538266788,0.871899470350663,3.50675550423068,0.00045360572342571,0.00742335030648302,"g_00216",0,1
86.3937122212715,3.56327367149207,0.857778447361341,4.15407228108056,3.26609928509157e-05,0.00102978348332225,"g_00219",0,1
41.4843160720746,7.20591036141529,1.56981695885642,4.59028698904148,4.42636978383832e-06,0.000228225989035713,"g_00227",0,1
40.6461104197918,6.11206354936806,1.77395415676991,3.44544616671333,0.000570117513776524,0.00882792612872341,"g_00228",0,1
24.1494944521142,4.82214048029698,1.68492836589833,2.86192610789482,0.00421075063988962,0.0394777032171451,"g_00229",0,1
34.0559443134751,6.6493305505895,1.51559957718982,4.38726075849037,1.14787143435942e-05,0.000466453210144235,"g_00235",0,1
33.2890242333092,6.93531148970446,1.84102154130401,3.76709958797774,0.000165155131524763,0.00352237602475547,"g_00239",0,1
