"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_32381",45.8218454428876,6.4743433131624,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32398",6.83643445887726,-18.3901293942235,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32400",-15.5043630698592,2.47156633923005,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32407",11.3427384536894,-49.4695666547144,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32408",0.976521371153804,-49.8498113398047,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_32411",-56.344534762396,17.2047537951201,"Cluster 7","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_32413",10.2765827887202,47.7223537437258,"Cluster 9","Cluster 1","Cluster 7","Cluster 10","Cluster 1"
"g_32420",36.2262290181773,-32.0255361064325,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_32435",12.9626224809677,-41.1428725217357,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32453",-46.8409734083816,9.78135597093215,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32457",36.4147596707276,2.01639234056869,"Cluster 1","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_32486",18.2642735001628,-40.0589740599599,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32490",-15.6999494949783,-1.01001919486113,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32496",-11.7124358427489,-13.5622898731781,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32498",57.6296655725545,11.2521491079738,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32510",20.4298894716637,-47.0643298678753,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32519",-36.6137096863254,1.26579960696725,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32529",-51.8418078386271,7.84118659038783,"Cluster 7","Cluster 7","Cluster 8","Cluster 2","Cluster 1"
"g_32535",-32.3444221777757,-6.3211259810843,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32536",-54.9866856175383,-6.55211062797903,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32540",-43.1785367760702,16.535894011874,"Cluster 7","Cluster 7","Cluster 2","Cluster 8","Cluster 1"
"g_32542",13.8417144079058,33.5316924278457,"Cluster 9","Cluster 1","Cluster 7","Cluster 10","Cluster 1"
"g_32591",-17.5164015094817,-22.3303963010553,"Cluster 3","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32596",-48.1937889482792,-1.7029594107214,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32604",39.5160042528289,7.65280052332389,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32605",52.9467455079138,-12.7163542374238,"Cluster 2","Cluster 8","Cluster 4","Cluster 4","Cluster 3"
"g_32606",-53.2297055424633,28.9754204062826,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32613",59.8526904177631,8.40819684509696,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32626",9.95664458508809,-47.9813565359066,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32637",7.09898555342217,-43.2209712691101,"Cluster 3","Cluster 2","Cluster 6","Cluster 8","Cluster 1"
"g_32647",-17.857910635269,-15.3889798968885,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32667",-12.101072382168,-36.8844161850996,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_32703",-20.1150649302244,-25.3340202158077,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32708",-8.42879578018891,50.4329648455662,"Cluster 4","Cluster 1","Cluster 7","Cluster 10","Cluster 1"
"g_32734",6.08271801497135,-47.2108091771965,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_32744",20.879729205282,-44.2029112806717,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32755",-31.5122904493309,10.3436971437942,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32759",-35.4362295860879,22.7047887719962,"Cluster 7","Cluster 7","Cluster 2","Cluster 8","Cluster 1"
"g_32766",-21.9458463898433,-18.650665254611,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32770",32.7566538137337,2.37770871840216,"Cluster 1","Cluster 6","Cluster 2","Cluster 7","Cluster 1"
"g_32790",26.7699515185314,-41.2905608327592,"Cluster 3","Cluster 2","Cluster 6","Cluster 8","Cluster 1"
"g_32793",-17.205398696193,-0.397809804615324,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_32806",-28.8104696252271,-30.5985821223902,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32812",7.31894913085905,-32.0966048090329,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_32830",13.935247345988,2.10595292883179,"Cluster 6","Cluster 4","Cluster 1","Cluster 5","Cluster 2"
"g_32846",40.6157711386467,-17.1790477091469,"Cluster 8","Cluster 8","Cluster 4","Cluster 4","Cluster 3"
"g_32847",-0.419290476740377,-31.0274178076212,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32855",6.27804716933348,-40.9448183852399,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_32860",16.9634006103824,-37.4217720105336,"Cluster 3","Cluster 2","Cluster 6","Cluster 8","Cluster 1"
"g_32879",-11.1724395441078,36.0295115470068,"Cluster 4","Cluster 9","Cluster 10","Cluster 10","Cluster 3"
"g_32911",-26.4846180314486,-32.6265692136293,"Cluster 3","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32912",-52.7693443987806,24.2917884876335,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_32929",17.3657502119982,-47.7650081518226,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32952",-42.8339891147818,-0.472581945403326,"Cluster 7","Cluster 10","Cluster 8","Cluster 8","Cluster 1"
"g_32962",-35.3062042944688,-21.677065473846,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_32984",9.40944766832016,-49.3783226062341,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_32996",-24.0392063992721,-10.1289818725993,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33001",-36.292741907159,-16.3274076241941,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33006",-46.2493777267714,-12.4850877942692,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33028",-32.2352836538103,-4.02707247715896,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33036",-11.218547814675,-24.2908586971971,"Cluster 3","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33040",-7.15008477526967,41.1488003072294,"Cluster 4","Cluster 9","Cluster 7","Cluster 10","Cluster 1"
"g_33048",36.1495070380666,-30.3579804497935,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_33051",-9.49223622217569,-24.5053329266424,"Cluster 3","Cluster 10","Cluster 8","Cluster 6","Cluster 1"
"g_33056",59.6608240192977,12.0427419424839,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33082",15.9437094579856,-47.3390064681581,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_33084",9.33337029289371,-46.1549783097329,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33131",-14.4810472117281,-29.0583680064385,"Cluster 3","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33170",-56.7719613837227,17.6598348060204,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_33193",-41.3470522279455,-10.2833326590767,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33199",12.1270870887056,-51.6511086083948,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33204",-12.2407346212838,-32.7764358247011,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_33226",41.005414895363,8.67958369777229,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33229",5.69780155407067,11.9598513527393,"Cluster 10","Cluster 3","Cluster 5","Cluster 9","Cluster 8"
"g_33234",-48.295039259065,29.1425985628416,"Cluster 7","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_33249",-0.0258997589846384,-50.2523572075854,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33261",20.8355249476845,-38.8163334391202,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_33262",51.9616916466118,13.4786263681175,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33263",-32.4156786248006,-9.98089698592158,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33265",-48.6549510295169,13.7802765625462,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_33279",19.1522840047194,-50.5577176143402,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33307",-8.31115522276785,-28.6338958501106,"Cluster 3","Cluster 10","Cluster 8","Cluster 6","Cluster 1"
"g_33317",65.6271658351035,4.70150449734459,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33330",-36.1662958266041,-13.5698485976782,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33341",-21.8909417132535,-27.3431186025762,"Cluster 7","Cluster 10","Cluster 8","Cluster 8","Cluster 1"
"g_33344",60.3158456383938,0.845445678554451,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33364",37.6337641596443,-26.0882884470231,"Cluster 8","Cluster 8","Cluster 3","Cluster 3","Cluster 1"
"g_33389",47.435977022982,6.72501979010664,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33406",13.0191903903945,-49.4596678126179,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33409",29.8640348020702,26.879384050924,"Cluster 9","Cluster 1","Cluster 7","Cluster 4","Cluster 1"
"g_33423",31.4339272889171,-31.9459306417581,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_33434",-35.8204898059385,8.08115079649174,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_33453",-0.49082528067079,-46.2282613243205,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_33484",-33.4532364949359,-16.2385534315427,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33487",-13.4303971347496,-13.7976538213138,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33488",-28.8733265808131,12.661420492799,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33489",-45.2804494521824,2.58917893704948,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_33502",-34.5878535008815,-13.7062398297606,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33516",32.5215606492317,-30.2066114749806,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_33518",63.482442078038,9.1243933243376,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33541",-12.9287659456271,-2.26628373703082,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33573",29.568154710808,3.47081499848729,"Cluster 1","Cluster 6","Cluster 1","Cluster 8","Cluster 2"
"g_33583",28.4003516113183,-34.1690006308357,"Cluster 3","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_33585",13.3838851134411,-45.0927645538616,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33597",30.9235975896495,-35.602963201537,"Cluster 3","Cluster 2","Cluster 3","Cluster 6","Cluster 1"
"g_33609",0.778950998180031,-24.1065522934354,"Cluster 3","Cluster 10","Cluster 6","Cluster 7","Cluster 1"
"g_33610",65.3873930582403,8.75279111603589,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33611",12.9163121005564,-40.860203747223,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33616",18.075098270778,5.58145683288612,"Cluster 6","Cluster 4","Cluster 1","Cluster 5","Cluster 2"
"g_33631",-27.9490525784298,-9.27669182370767,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33642",-1.18559107461996,-49.21110480636,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_33644",40.0455984137086,9.1632438559912,"Cluster 7","Cluster 7","Cluster 2","Cluster 8","Cluster 1"
"g_33647",58.9332951464078,10.568844174223,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_33650",35.2778718741598,-24.0239203656448,"Cluster 8","Cluster 8","Cluster 3","Cluster 3","Cluster 1"
"g_33660",16.7574893959923,-2.30471077811973,"Cluster 6","Cluster 6","Cluster 1","Cluster 5","Cluster 2"
"g_33666",25.9947508209837,-38.2489500098406,"Cluster 3","Cluster 2","Cluster 3","Cluster 6","Cluster 1"
"g_33698",-1.75467120925138,-33.4404955042725,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_33699",-49.0997239177454,6.75448263988058,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_33702",35.6495118663593,-35.3927530557569,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_33705",26.3743490206428,-42.4613194872409,"Cluster 3","Cluster 2","Cluster 3","Cluster 8","Cluster 1"
"g_33708",-16.6582529694294,-11.5323896267532,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
